ds,yhat,yhat_lower,yhat_upper
2020-11-15,1177.8561657105279,785.2191815079649,1561.4349660858431
2020-11-16,1211.0616241197856,829.4271711057429,1587.068941366967
2020-11-17,1239.8013109981189,849.1977644269856,1640.7120899779843
2020-11-18,1265.9782238215773,894.060342306685,1675.7786948409464
2020-11-19,1252.2637556249174,856.9430063582172,1625.2073763439187
2020-11-20,1293.4898482577755,902.6132078490245,1671.3668663391447
2020-11-21,1294.4621912420594,906.7538785063916,1674.9941820250872
2020-11-22,1326.3162919030062,951.0101936229028,1711.0921997003638
2020-11-23,1362.8504039153572,977.6943921866223,1751.4919151381555
2020-11-24,1394.9187443969174,1027.8985315013706,1804.9864426322686
2020-11-25,1424.4243108234389,1053.198843215449,1787.795798176088
2020-11-26,1410.7098426267821,1023.7703100111758,1793.308632589943
2020-11-27,1451.9359352596348,1092.6830634048383,1858.6478462886155
2020-11-28,1452.9082782439334,1050.7795439684985,1855.2971880397647
2020-11-29,1484.7623789048357,1098.7395319958146,1895.130931601597
2020-11-30,1521.2964909173395,1141.3375139178875,1881.3205639346434
2020-12-01,1553.3648313987035,1166.5681861783237,1955.4404192425725
2020-12-02,1582.870397825259,1235.0463128364556,1985.905314852304
2020-12-03,1569.1559296286403,1179.254681640583,1930.6781063358858
2020-12-04,1610.3820222614952,1239.607865692123,1996.4827249641237
2020-12-05,1611.3543652457492,1253.5507164940877,1999.0551624329325
2020-12-06,1643.2084659066882,1251.558096998647,2017.378617301665
2020-12-07,1679.7425779192288,1298.122531992714,2065.5582629711207
2020-12-08,1711.810918400626,1336.0111693165063,2111.8983413086507
2020-12-09,1741.3164848271213,1365.859729648706,2150.894545940877
2020-12-10,1727.6020166305348,1354.444786092816,2093.247258359992
2020-12-11,1768.8281092633545,1363.6027647338424,2146.7796908405626
2020-12-12,1769.8004522476824,1397.713621621096,2148.0269357318625
2020-12-13,1801.6545529086177,1392.459798582508,2170.4455531631065
2020-12-14,1838.188664921049,1454.290923017582,2237.4084937913585
2020-12-15,1870.2570054024604,1500.6614995411146,2264.1854841573277
2020-12-16,1899.7625718289407,1525.710799669239,2298.8874743951983
2020-12-17,1886.0481036323918,1514.8320996684595,2252.116190758056
2020-12-18,1927.274196265214,1534.7378698293094,2307.8193123676974
2020-12-19,1928.246539249499,1528.9537949734981,2319.311284000703
2020-12-20,1960.1006399104704,1608.3659113881358,2379.452513643885
2020-12-21,1996.6347519228693,1620.0646164038783,2399.639825249678
2020-12-22,2028.7030924043133,1632.0832840496562,2402.1443300829887
2020-12-23,2058.2086588308457,1649.4359326845843,2432.3046663795503
2020-12-24,2044.4941906342494,1655.498168756493,2438.779898884806
2020-12-25,2085.7202832671014,1695.3736471107043,2482.5174003747916
2020-12-26,2086.692626251399,1719.7487028631654,2480.6510972646574
2020-12-27,2118.5467269124006,1747.8480112384245,2524.9122212360135
2020-12-28,2155.080838924771,1774.8556438881246,2561.1829237781444
2020-12-29,2187.149179406167,1794.516911024571,2564.104577705431
2020-12-30,2216.6547458326654,1844.1926759213804,2602.1345489482233
2020-12-31,2202.940277636143,1830.3376256210236,2580.1904524126235
2021-01-01,2244.166370268987,1849.632096284978,2628.0600493496017
2021-01-02,2245.138713253273,1875.5038090968526,2616.654713880326
2021-01-03,2276.9928139141766,1908.6449417395495,2682.224319224187
2021-01-04,2313.526925926672,1916.3144460182145,2702.901477172584
2021-01-05,2345.59526640809,1948.041097603089,2742.9740643968566
2021-01-06,2375.1008328346015,2001.703326526576,2745.925010382045
2021-01-07,2361.38636463801,1978.4195888642419,2724.254880993791
2021-01-08,2402.6124572708472,2019.1376284807181,2765.459119430254
2021-01-09,2403.584800255148,2012.3481241363095,2781.380504238604
2021-01-10,2435.4389009160045,2089.5199292393327,2822.360097856585
2021-01-11,2471.9730129284803,2092.2096080730744,2860.4675926688174
2021-01-12,2504.041353410013,2172.9663515299053,2925.538924530009
2021-01-13,2533.5469198364635,2155.2138148846207,2938.5737831494694
2021-01-14,2519.832451639858,2123.2636268445517,2928.9717636558175
2021-01-15,2561.0585442727065,2154.0198490348535,2931.290820550583
2021-01-16,2562.0308872569653,2177.453362858495,2955.688801705484
2021-01-17,2593.884987917858,2242.2934927834153,2988.970337753148
2021-01-18,2630.4190999303014,2230.055679053379,3020.867255182016
2021-01-19,2662.487440411867,2305.7099365865997,3052.6925509267803
2021-01-20,2691.9930068383264,2298.506814037986,3054.4381937188923
2021-01-21,2678.2785386417236,2298.6534610174067,3061.677613554285
2021-01-22,2719.504631274567,2339.409188355434,3079.303941814675
2021-01-23,2720.47697425878,2385.51307819943,3097.1931826203963
2021-01-24,2752.331074919787,2345.8915851037377,3128.436379451214
2021-01-25,2788.865186932283,2395.30098135915,3163.8432964932026
2021-01-26,2820.93352741372,2411.9692682734044,3164.7570334044967
2021-01-27,2850.439093840262,2453.8760138264915,3249.269427570144
2021-01-28,2836.72462564358,2470.6002905249916,3209.4314233719456
2021-01-29,2877.9507182764546,2492.7340095334066,3273.9752790809985
2021-01-30,2878.9230612606557,2500.907261323329,3246.2185842483586
2021-01-31,2910.7771619216405,2501.2727747483714,3279.0333392308894
2021-02-01,2947.3112739341022,2540.635468424635,3354.0663795052715
2021-02-02,2979.379614415554,2590.8961813733854,3346.772390334239
2021-02-03,3008.8851808421246,2616.083257153781,3395.3821315625055
2021-02-04,2995.170712645446,2601.887628855704,3345.542264003858
2021-02-05,3036.3968052782866,2623.299034551856,3417.004710997008
2021-02-06,3037.3691482626705,2629.704731784471,3419.573368608099
2021-02-07,3069.223248923469,2674.5311346205162,3442.016202417154
2021-02-08,3105.7573609360034,2704.2258827012856,3507.32546510212
2021-02-09,3137.8257014174774,2768.4034457714165,3521.270191939432
2021-02-10,3167.3312678439424,2770.0331301165825,3542.1926901554334
2021-02-11,3153.616799647304,2791.2683475240974,3526.0639808661076
2021-02-12,3194.842892280174,2827.8936523469215,3600.610151989839
2021-02-13,3195.815235264488,2777.4424800825313,3593.244025732848
2021-02-14,3227.6693359253222,2821.763684677025,3598.8628618375487
2021-02-15,3264.2034479378235,2855.3279048216878,3708.4787757504832
2021-02-16,3296.2717884192625,2891.7331789313657,3710.594751242843
2021-02-17,3325.777354845848,2921.543907631486,3713.5008261869534
2021-02-18,3312.0628866491984,2907.09675049915,3707.8415174475044
2021-02-19,3353.288979282032,2943.749664931586,3745.8565813482596
2021-02-20,3354.2613222663044,2947.984236224556,3761.781886381056
2021-02-21,3386.1154229272524,2948.661439051357,3812.479728091803
2021-02-22,3422.6495349397255,3012.1789653127976,3881.850058921575
2021-02-23,3454.7178754211654,3045.1535081114685,3886.4649939367964
2021-02-24,3484.2234418476683,3037.3076522290385,3894.3952996543426
